user_id,total_draws,completed_draws,first_draw_time,last_draw_time,free_unlock_draws,paid_unlock_draws,diamond_unlock_draws,coin_draws,diamond_generated,total_consumption,平台,App版本,渠道,新老用户,付费状态,提现系统版本,scratch_completed_user,repeat_draw_user,draw_eq_10_user,draw_ge_10_user,draw_count_bucket
77743476,7,7,2026-05-28 15:55:40.464,2026-05-29 16:50:39.534,0,0,7,0,4000,10500,Android,2.0.03,google-play,Old User,Non-paid,钻石提现版本,True,True,False,False,6-9
79507384,1,1,2026-06-09 05:37:55.131,2026-06-09 05:37:55.131,0,0,1,0,700,1500,Android,2.0.06,apps.facebook.com,New User,Non-paid,钻石提现版本,True,False,False,False,1
81003594,1,1,2026-06-07 20:40:42.814,2026-06-07 20:40:42.814,0,0,1,0,900,1500,iOS,1.9.73,(direct),Old User,Non-paid,钻石提现版本,True,False,False,False,1
81357874,5,5,2026-06-10 14:33:38.607,2026-06-10 14:33:38.670,0,0,5,0,2200,7500,Android,2.0.03,google-play,Old User,Paid,钻石提现版本,True,True,False,False,4-5
81729621,4,4,2026-06-08 14:00:45.727,2026-06-08 14:19:38.133,2,2,0,0,7600,3000,iOS,1.9.76,(direct),New User,Non-paid,钻石提现版本,True,True,False,False,4-5
81833431,2,2,2026-05-31 07:23:54.938,2026-06-02 09:44:33.049,2,0,0,0,200,0,iOS,1.9.72,(direct),Old User,Non-paid,钻石提现版本,True,True,False,False,2-3
82019523,4,4,2026-06-07 04:17:53.799,2026-06-07 04:19:06.417,4,0,0,0,450,0,Android,2.0.06,google-play,New User,Non-paid,钻石提现版本,True,True,False,False,4-5
82078832,3,3,2026-06-04 09:28:00.744,2026-06-10 08:15:52.862,2,1,0,0,1200,1500,Android,2.0.06,google-play,New User,Non-paid,钻石提现版本,True,True,False,False,2-3
82527711,1,1,2026-06-09 09:28:41.881,2026-06-09 09:28:41.881,0,0,1,0,900,1500,Android,2.0.06,(direct),Old User,Non-paid,钻石提现版本,True,False,False,False,1
83973652,5,0,2026-06-09 14:56:11.301,2026-06-09 14:56:11.387,0,0,5,5,5000,7500,Android,2.0.00,(direct),Old User,Non-paid,钻石提现版本,False,True,False,False,4-5
84987126,11,11,2026-05-28 13:59:37.652,2026-06-07 07:57:10.852,10,1,0,0,2200,1500,Android,2.0.03,google-play,New User,Paid,钻石提现版本,True,True,False,True,10+
85281938,9,9,2026-06-04 23:12:43.509,2026-06-07 00:10:16.149,0,0,9,0,7800,13500,Android,2.0.06,frog,Old User,Non-paid,钻石提现版本,True,True,False,False,6-9
85542496,21,21,2026-05-29 12:48:28.122,2026-06-09 04:29:06.361,1,3,17,0,17450,30000,Android,2.0.02,(direct),Old User,Non-paid,钻石提现版本,True,True,False,True,10+
85961313,5,5,2026-06-07 05:27:29.659,2026-06-07 05:29:58.939,5,0,0,0,550,0,Android,2.0.06,google-play,Old User,Non-paid,钻石提现版本,True,True,False,False,4-5
86232504,1,0,2026-05-30 03:56:08.440,2026-05-30 03:56:08.440,0,0,1,1,2000,1500,iOS,1.9.74,(direct),Old User,Non-paid,钻石提现版本,False,False,False,False,1
86705625,9,9,2026-05-29 09:47:20.727,2026-06-06 11:25:41.547,6,1,2,0,3050,4500,Android,2.0.03,google-play,New User,Non-paid,钻石提现版本,True,True,False,False,6-9
86878658,6,6,2026-06-09 04:23:56.029,2026-06-10 04:32:56.965,6,0,0,0,650,0,Unknown,Unknown,Unknown,Old User,Non-paid,未知提现版本,True,True,False,False,6-9
86921481,86,86,2026-05-28 16:25:25.916,2026-06-09 06:44:56.351,81,5,0,0,19250,7500,Android,2.0.02,AppReferral,Old User,Non-paid,钻石提现版本,True,True,False,True,10+
87183791,20,20,2026-05-28 06:17:28.352,2026-05-29 10:48:36.748,0,0,20,0,20000,30000,Unknown,Unknown,Unknown,Old User,Non-paid,未知提现版本,True,True,False,True,10+
88107506,3,0,2026-05-28 05:00:54.617,2026-05-28 05:01:06.347,0,0,3,3,1600,4500,Unknown,Unknown,Unknown,Old User,Non-paid,未知提现版本,False,True,False,False,2-3
88832065,10,10,2026-05-28 05:34:13.385,2026-06-08 06:03:50.136,0,0,10,0,5000,15000,Android,2.0.02,(direct),Old User,Non-paid,钻石提现版本,True,True,True,True,10+
90126131,11,11,2026-05-31 09:47:42.934,2026-06-09 07:37:26.841,11,0,0,0,1300,0,Android,2.0.02,(direct),Old User,Paid,钻石提现版本,True,True,False,True,10+
90150319,3,3,2026-06-08 23:46:48.089,2026-06-10 23:55:24.626,0,0,3,0,2800,4500,Android,2.0.03,(direct),Old User,Paid,钻石提现版本,True,True,False,False,2-3
90260586,17,17,2026-05-28 22:36:05.186,2026-06-10 12:01:30.152,17,0,0,0,2100,0,Android,2.0.01,(direct),Old User,Non-paid,钻石提现版本,True,True,False,True,10+
90494327,2,2,2026-06-08 15:40:25.403,2026-06-08 19:32:38.902,1,0,1,0,150,1500,Android,2.0.06,(direct),Old User,Non-paid,钻石提现版本,True,True,False,False,2-3
90994926,1,1,2026-06-03 19:43:26.321,2026-06-03 19:43:26.321,0,0,1,0,6200,1500,Android,2.0.06,(direct),New User,Non-paid,钻石提现版本,True,False,False,False,1
91177244,4,4,2026-06-07 23:33:00.505,2026-06-08 21:40:41.234,0,0,4,0,4000,6000,Android,2.0.06,(direct),Old User,Non-paid,钻石提现版本,True,True,False,False,4-5
91349312,1,1,2026-06-10 12:17:30.434,2026-06-10 12:17:30.434,0,0,1,0,0,1500,iOS,1.9.76,(direct),Old User,Non-paid,钻石提现版本,True,False,False,False,1
92194772,6,6,2026-06-04 09:29:29.088,2026-06-04 09:31:15.680,6,0,0,0,900,0,Android,2.0.06,google-play,Old User,Paid,钻石提现版本,True,True,False,False,6-9
94751500,2,2,2026-06-01 20:17:25.882,2026-06-04 07:22:40.740,1,1,0,0,1300,1500,Android,2.0.03,google-play,Old User,Non-paid,钻石提现版本,True,True,False,False,2-3
94935801,31,31,2026-06-02 02:23:51.375,2026-06-10 02:12:02.929,11,0,20,0,26000,30000,Android,2.0.03,(direct),Old User,Paid,钻石提现版本,True,True,False,True,10+
95070322,1,1,2026-06-06 00:28:22.482,2026-06-06 00:28:22.482,0,0,1,0,900,1500,Android,2.0.06,(direct),Old User,Paid,钻石提现版本,True,False,False,False,1
95186378,1,1,2026-06-02 03:29:53.628,2026-06-02 03:29:53.628,0,0,1,0,0,1500,Android,2.0.03,google-play,Old User,Non-paid,钻石提现版本,True,False,False,False,1
95280565,1,0,2026-06-06 15:38:56.688,2026-06-06 15:38:56.688,0,0,1,1,1400,1500,Android,2.0.02,google-play,Old User,Non-paid,钻石提现版本,False,False,False,False,1
95418418,1,1,2026-06-11 04:05:41.765,2026-06-11 04:05:41.765,0,0,1,0,3700,1500,Android,2.0.06,(direct),Old User,Non-paid,钻石提现版本,True,False,False,False,1
95758915,1,1,2026-06-01 04:01:46.737,2026-06-01 04:01:46.737,0,0,1,0,0,1500,Android,2.0.03,(direct),Old User,Non-paid,钻石提现版本,True,False,False,False,1
96373165,1,1,2026-06-09 16:47:27.680,2026-06-09 16:47:27.680,0,0,1,0,900,1500,Android,2.0.06,apps.facebook.com,New User,Non-paid,钻石提现版本,True,False,False,False,1
97141733,1,0,2026-05-28 09:27:51.838,2026-05-28 09:27:51.838,1,0,0,1,100,0,iOS,1.9.74,(direct),New User,Non-paid,钻石提现版本,False,False,False,False,1
97253904,4,4,2026-06-06 06:38:37.126,2026-06-09 02:29:51.560,0,0,4,0,2700,6000,iOS,1.9.76,(direct),New User,Non-paid,钻石提现版本,True,True,False,False,4-5
97516085,4,4,2026-06-01 13:04:24.695,2026-06-09 12:27:44.964,0,0,4,0,1400,6000,iOS,1.9.75,(direct),Old User,Non-paid,钻石提现版本,True,True,False,False,4-5
97949885,1,1,2026-05-29 02:44:30.362,2026-05-29 02:44:30.362,0,0,1,0,900,1500,Android,2.0.03,(direct),Old User,Non-paid,钻石提现版本,True,False,False,False,1
97965624,75,75,2026-05-28 07:28:48.088,2026-06-11 02:49:52.228,55,0,20,0,27400,30000,Unknown,Unknown,Unknown,Old User,Non-paid,未知提现版本,True,True,False,True,10+
